Start Training...
Epoch 1/2: Iteration 0, loss = 35.623405
Epoch 1/2: Iteration 100, loss = 1.853374
Epoch 1/2: Iteration 200, loss = 3.129416
Epoch 1/2: Iteration 300, loss = 0.176962
Epoch 1/2: Iteration 400, loss = 0.980510
Epoch 1/2: Iteration 500, loss = 0.431060
Epoch 1/2: Iteration 600, loss = 0.049465
Epoch 1/2: Iteration 700, loss = 1.769088
Epoch 1/2: Iteration 800, loss = 0.580684
Epoch 1/2: Iteration 900, loss = 0.153978
Epoch 1/2: Iteration 1000, loss = 0.023406
Epoch 1/2: Iteration 1100, loss = 0.604783
Epoch 1/2: Iteration 1200, loss = 0.338401
Epoch 1/2: Iteration 1300, loss = 0.234678
Epoch 1/2: Iteration 1400, loss = 1.022111
Epoch 1/2: Iteration 1500, loss = 0.102092
Epoch 1/2: Iteration 1600, loss = 7.065545
Epoch 1/2: Iteration 1700, loss = 0.476694
Epoch 1/2: Iteration 1800, loss = 0.020188
Epoch 1/2: Iteration 1900, loss = 0.104766
Epoch 1/2: Iteration 2000, loss = 0.142118
Epoch 1/2: Iteration 2100, loss = 0.298053
Epoch 1/2: Iteration 2200, loss = 0.035474
Epoch 1/2: Iteration 2300, loss = 0.107151
Epoch 1/2: Iteration 2400, loss = 0.075598
Epoch 1/2: Iteration 2500, loss = 0.118426
Epoch 1/2: Iteration 2600, loss = 0.090714
Epoch 1/2: Iteration 2700, loss = 0.131961
Epoch 1/2: Iteration 2800, loss = 0.058553
Epoch 1/2: Iteration 2900, loss = 0.016636
Epoch 1/2: Iteration 3000, loss = 0.047940
Epoch 1/2: Iteration 3100, loss = 0.006210
Epoch 1/2: Iteration 3200, loss = 0.015642
Epoch 1/2: Iteration 3300, loss = 21.080597
Epoch 1/2: Iteration 3400, loss = 0.069095
Epoch 1/2: Iteration 3500, loss = 0.040807
Epoch 1/2: Iteration 3600, loss = 0.221179
Epoch 1/2: Iteration 3700, loss = 0.042699
Epoch 1/2: Iteration 3800, loss = 3.462017
Epoch 1/2: Iteration 3900, loss = 0.048820
Epoch 1/2: Iteration 4000, loss = 0.081927
Epoch 1/2: Iteration 4100, loss = 0.110317
Epoch 1/2: Iteration 4200, loss = 0.087400
Epoch 1/2: Iteration 4300, loss = 0.133473
